اسد,Asad
نهيد        ,   Nahid
نوار        ,   Nawar
نواس        ,   Nawas
نواف        ,   Nawaf
نوح         ,   Nouh
نور الدين   ,   Nur Eldeen
نورس        ,   Noras
نوري        ,   Noury
نوفل        ,   Noufal
نويرة       ,   Nouera
هائل        ,   Hael
هاجد        ,   Haged
هادف        ,   Hadef
هادي        ,   Hadi
هاشم        ,   Hashim
هانئ        ,   Hanie
هاني        ,   Hani
هبار        ,   Hubar
هبيرة       ,   Habeera
هجام        ,   Hugam
هجرس        ,   Hagras
هجيج        ,   Hagig
هدايا       ,   Hadaya
هديه       ,   Hedya
هدية       ,   Hedya
هدير        ,   Hadeer
هراس        ,   Haras 
هرثمة       ,   Hersama
هريرة       ,   Hurayra
هزاع        ,   Huzaa
هشام        ,   Hesham
هشيم        ,   Hashim
هلال        ,   Helal
هماس        ,   Hamas
همام        ,   Hamam
همة         ,   Hemah
هنيء        ,   Hanie
هواري       ,   Hawari
هواس        ,   Hawas
هود         ,   Houd
هوزان       ,   Houzan
هيثم        ,   Haitham
هيصر        ,   Haithar
هيمان       ,   Himan
وادع        ,   Wadaa
وارف        ,   Waref
وديع        ,   Wadie
ورد         ,   Ward
وريد        ,   Warid
وسام        ,   Wesam
وسيم        ,   Wasim
وفيق        ,   Wafik
ولاء    ,   Walaa
الدين       ,   Eldin
ولهان       ,   Walhan
وليد        ,   Walid
وليف        ,   Walif
وميض        ,   Wamid
ونوس        ,   Wanous
وهب         ,   Wahb
وهبة        ,   Wahba
وهيب        ,   Wahib
ياسر        ,   Yasser
ياسين       ,   Yassin
يحيى        ,   Yehia
يعقوب       ,   Yaakob
يونس        ,   Younes
آلاء            ,Alaa
الاء            ,Alaa
ألاء            ,Alaa
آمال        ,   Amal
امال        ,   Amal
أمال        ,   Amal
آمنة        ,   Amena
امنة        ,   Amena
أمنة        ,   Amena
آيات        ,   Ayat
ايات        ,   Ayat
أيات        ,   Ayat
آية         ,   Aya
اية         ,   Aya
أية         ,   Aya
آيلا        ,   Ayla
ايلا        ,   Ayla
ايلا        ,   Ayla
أبرار       ,   Abrar
ابرار       ,   Abrar
أثيل        ,   Assel
ثيل        ,   Assel
أجوان       ,   Agwan
أحلام       ,   Ahlam
أروى        ,   Arwa
أريج        ,   Areeh
أزهار      ,    Azmar 
أسارير      ,   Asarer
أسماء       ,   Asmaa
أسمى        ,   Asma
أسيل        ,   Aseel
أشجان       ,   Ashgan
أطياف       ,   Atyaf
أغاريد      ,   Agharid
أفراح       ,   Afrah
أفكار       ,   Afkar
أفنان       ,   Afnan
ألطاف       ,   Altaf
ألوف        ,   Alouf
أم كلثوم    ,   Om Kolthom
أمارة       ,   Amara
أمال        ,   Amal
أمامة       ,   Amama
أماميان     ,   Amameyan
أمانة       ,   Amana
أماني       ,   Amana
أمرات       ,   Amarat
أملة        ,   Amla
أمنية       ,   Amina
أمورة       ,   Amoura
أمونة       ,   Amouna
أمية        ,   Ameya
أميرة       ,   Amira
أميمة       ,   Omima
أميمية      ,   Omimya
أمينة       ,   Amina
أناة        ,   Anah
أنار        ,   Anar
أنارات      ,   Anarat
أنسام       ,   Ansam
أنسة        ,   Anesa
أنسوقة      ,   Ansouka
أنشودة      ,   Anshouda
أنصار       ,   Ansar
أنظار       ,   Anzar
أنظام       ,   Anzam
أنغم        ,   Angham
أنوار       ,   Anwar
أنوس        ,   Anous
أنوف        ,   Anouf
أنيسة       ,   Anisa
أهداف       ,   Ahdaf
أوبية       ,   Awbeya
أودة        ,   Awda
أوسال       ,   Awsal
أوصاف       ,   Awsaf
أوصال       ,   Awsal
أولياء      ,   Awlyaa
أوها        ,   Awha
إباء        ,   Ibaa
إجلال       ,   Eglal
إحسان       ,   Ehsan
إخلاص       ,   Ekhlas
إدراك       ,   Edrak
إسراء       ,   Esraa
إسعاد       ,   Esaad
إسعاف       ,   Esaaf
إشراف       ,   Esharaf
إصلاح       ,   Eslah
إعزاز       ,   Ezaz
إقبال       ,   Ekbal
إقدام       ,   Ekdam
إكرام       ,   Ekram
إكليل       ,   Eklil
إمداد       ,   Emdad
إمهال       ,   Emhal
إناس        ,   Enas
إنجاح       ,   Engah
إنشاد       ,   Endshad
إنصاف       ,   Ensaf
إنعام       ,   Enaam
إهداف       ,   Ehdaf
إهلال       ,   Ehlal
إيتاء       ,   Itaa
إيثار       ,   Ithar
إيحاء       ,   Ihaa
إيداع       ,   Ibda
إيضاح       ,   Idah
إيفاء       ,   Ifaa
إيماء       ,   Imaa
إيمان       ,   Iman
إيناس       ,   Inas
ابتسام      ,   Ebtesam
ابتهاج      ,   Ebtehag
ابتهال      ,   Ebtehal
اجتهاد      ,   Egtehad
احتشام      ,   Ehtesham
ازدهار      ,   Ezdehar
اعتدال      ,   Etedal
اعتماد      ,   Eatemad
افتخار      ,   Eftekhar
افتكار      ,   Eftekar
الحدة       ,   Alheda
الدرداء     ,   Aldarda
السعدية     ,   Alsadeya
السكينة     ,   Alsakina
النعيمة     ,   Alnaeema
امتثال      ,   Emtethal
امتياز      ,   Emteyaz
انبساط      ,   Enbesat
انبهاج      ,   Enbehag
انتصار      ,   Entesar
انتظار      ,   Entezar
انتهاء      ,   Entehaa
انجرار      ,   Engerar
انسجام      ,   Ensegam
انشراح      ,   Ensherah
انشراف      ,   Ensheraf
انشقار      ,   Enshekar
انفصال      ,   Enfesal
بائقة       ,   Baeika
بادرة       ,   Bareda
بارزة       ,   Bareza
بارعة       ,   Bareah
باركة       ,   Bareka
بارية       ,   Bareya
بازعة       ,   Bazeaa
باسة        ,   Basah
باسطة       ,   Baseta
باسقة       ,   Baseka
باسلة       ,   Basela
بتول        ,   Batoul
بثينة       ,   Bathina
بحرية       ,   Baherya
براء        ,   Baraa
بسمة        ,   Basma
بسيمة       ,   Basima
بشرى        ,   Boushra
بشيرة       ,   Bashira
بلقيس       ,   Balkis
بليغة       ,   Baligha
بهيجة       ,   Bahga
بهيسة       ,   Bahisa
تانيا       ,   Tanya
تغاني       ,   Taghani
تمارة       ,   Tamara
تماضر       ,   Tamader
تنال        ,   Tanal
تودد        ,   Tawadod
تيسير       ,   Tayseer
تيماء       ,   Taymaa
تيمة        ,   Tima
ثراء        ,   Tharaa
ثوابة       ,   Thawaba
ثوبة        ,   Thawba
ثويبة       ,   Thawbeya
جبرة        ,   Gabra
جبلة        ,   Gabla
جمانة       ,   Jomana
جميلة       ,   Gamila
جيداء       ,   Jayda
جيهان       ,   Gehan
حجاب        ,   Hegab
حدة         ,   Heda
حدية        ,   Hedya
حسنية       ,   Husneya
حفصة        ,   Hafsa
حليمة       ,   Halima
حنيفة       ,   Hanifa
حوراء       ,   Horaa
حورية       ,   Horeya
حياة        ,   Hayah
خديجة       ,   Khadiga
خزامى       ,   Khozami
خولة        ,   Khawla
داليا       ,   Dalia
دانا        ,   Dana
دانية       ,   Danya
دعجاء       ,   Dagaa
دنيا        ,   Doneya
ذبيانة      ,   Zobyana
ذكية        ,   Zakia
راتبة       ,   Rateba
راجحة       ,   Rageha
راسخة       ,   Rasekha
راغبة       ,   Ragheba
رافقة       ,   Rafeka
رافية       ,   Rafeya
راقية       ,   Rakeya
رامة        ,   Rama
رانيا       ,   Rania
رباعي       ,   Robai
ربعة        ,   Rabaa
ربى         ,   Roba
رجب         ,   Ragab
رجيحة       ,   Ragiha
رحاب        ,   Rahab
رخاء        ,   Rakha
رداح        ,   Redah
ردينة       ,   Radina
رزان        ,   Razan
رزينة       ,   Razina
رسمية       ,   Rasmeya
رشا         ,   Rasha
رشيقة       ,   Rashika
رصينة       ,   Rasina
رضا         ,   Reda
رضوة        ,   Radwa
رغد         ,   Raghd
رفيدة       ,   Rofayda
رفيعة       ,   Rafia
رفيف        ,   Rafif
رقية        ,   Rokaya
رنا         ,   Rana
رنيم        ,   Ranim
رهام        ,   Reham
رهيفة       ,   Rahifa
رولا        ,   Rahifa
ريا         ,   Raya
رياض        ,   Reyad
ريتا        ,   Rita
ريحانة      ,   Rihana
ريم         ,   Reem
ريما        ,   Rema
زبيدة       ,   Zobayda
زكية        ,   Zakia
زهرة        ,   Zahra
زهور        ,   Zohoor
زيانة       ,   Ziyana
زينب        ,   Zeinab
سؤدد        ,   Soadad
سارة        ,   Sara
سالي        ,   Sali
سامية       ,   Samia
ساندرا      ,   Sandra
ساهدة       ,   Sahda
ساهرة       ,   Sahra
سبيعة       ,   Sabiaa
سجى         ,   Saga
سحر         ,   Sahar
سدر         ,   Sadr
سرى         ,   Sara
سعاد        ,   Souad
سعدة        ,   Sada
سعيدة       ,   Saeeda
سفيانة      ,   Sofyana
سكين        ,   Sakina
سكينة       ,   Sakina
سلامة       ,   Salama
سلطانة      ,   Soltana
سلمى        ,   Salma
سلوى        ,   Salwa
سمة         ,   Sama
سمر         ,   Samar
سمراء       ,   Samraa
سمية        ,   Somaia
سميحة       ,   Sameeha
سميرة       ,   Samira
سناء        ,   Sanaa
سندس        ,   Sondos
سنيحة       ,   Saniha
سهاد        ,   Sohad
سهى         ,   Soha
سهيلة       ,   Sohayla
سونيا       ,   Sonia 
شارد        ,   Sharid
شاكرة       ,   Shaker
شاهدة       ,   Shaheda
شاهرة       ,   Shahera
شريفة       ,   Sherifa
شكرية       ,   Shokreya
شهلاء       ,   Shalaa
شيماء       ,   Shaima
صائنة       ,   Saena
صابرة       ,   Sabera
صبا         ,   Saba
صريحة       ,   Sariha
صفا         ,   Safa
صفاء        ,   Safa
صفية        ,   Safia
ضارعة       ,   Dareaa
ضياء        ,   Deya
طامحة       ,   Tameha
طريفة       ,   Tareefa
ظافرة       ,   Zafera
ظعينة       ,   Zaina
عائذة       ,   Aeiza
عائشة       ,   Eisha
عابدة       ,   Abeda
عاطفة       ,   Atefa
عايدة       ,   Aida
عبادة       ,   Ebada
عبلة        ,   Abla
عبير        ,   Abeer
عتابة       ,   Etaba
عزيزة       ,   Azeeza
عشير        ,   Asheer
عفاف        ,   Afaf
علجية       ,   Aliga
علياء       ,   Alia
غادة        ,   Ghada
غريبة       ,   Ghariba
غلا         ,   Ghola
غناء        ,   Ghenaa
غيد         ,   Gheid
غيداء       ,   Ghida
فائقة       ,   Faeka
فاتن        ,   Faten
فادية       ,   Fadia
فاطمة       ,   Fatima
فتيحة       ,   Fatiha
فخرية       ,   Fakhreya
فرح         ,   Farah
فردوس       ,   Ferdos
فريدة       ,   Farida
فصيحة       ,   Fasiha
فضل         ,   Fadl
فكرية       ,   Fekrya
فلوة        ,   Flwa
فنن         ,   Fanan
فهيمة       ,   Fahima
فوزية       ,   Fawzeya
فيروز       ,   Fayrooz
فيضية       ,   Faydeya
قطام        ,   Katam
قنوت        ,   Kanout
كاتيا       ,   Katya
كارينا      ,   Karina
كاظمة       ,   Kazema
كاملة       ,   Kamela
كبرى        ,   Kobra
كريمة       ,   Karima
كفى         ,   Kafa
كنزى        ,   Kenzi
لؤلؤة       ,   Loaloa
لارا        ,   Lara
لانا        ,   Lana
لبانة       ,   Lobana
لجينة       ,   Logaina
لذة         ,   Laza
لطفية       ,   Latifa
لمى         ,   Loma
لمياء       ,   Lamya
لميس        ,   Lamis
لهيفة       ,   Lahifa
لوزت        ,   Lawzat
ليال        ,   Leyal
ليلى        ,   Laila
لينا        ,   Lina
مارسيل      ,   Marsel
ماهة        ,   Mahah
ماهرة       ,   Mahera
مبروكة      ,   Mabrouka
متام        ,   Metam
مثابة       ,   Mathaba
مجاهدة      ,   Megahda
مجيبة       ,   Mogiba
مجيدة       ,   Mogida
مخلصة       ,   Mokhlesa
مدركة       ,   Modreka
مديدة       ,   Madida
مرح         ,   Marah
مرحب        ,   Marhab
مرهفة       ,   Morhafa
مروة        ,   Marwa
مروى        ,   Marwa
مريم        ,   Mariam
مزينة       ,   Mazina
مساعدة      ,   Mosaed
مسفرة       ,   Mosfera
مصلحة       ,   Maslha
مطاعة       ,   Motah
مطيعة       ,   Motiah
معطوب       ,   Matoub
معطية       ,   Moetia
معينة       ,   Moeina
مغيثة       ,   Moghitha
مقبلة       ,   Mokbela
ملاك        ,   Malak
ملاكة       ,   Malaka
ملهمة       ,   Molhema
مليكة       ,   Malika
ممدوحة      ,   Mamdouha
مناحة       ,   Manaha
مناصف       ,   Monasef
منذرة       ,   Monzera
منصفة       ,   Monsefa
منى         ,   Mona
منيبة       ,   Moniba
منيرة       ,   Monira
مها         ,   Maha
مهيبة       ,   Mohiba
ميا         ,   Maya
ميادة       ,   Mayada
ميرا        ,   Mira
ميساء       ,   Maisaa
ميسون       ,   Maysoon
ميلا        ,   Mila
ميليسا      ,   Milisa
ميمونة      ,   Maymouna
مينا        ,   Mina
ناتاشا      ,   Natasha
ناجحة       ,   Nageha
ناجدة       ,   Nageda
نادية       ,   Nadia
نادين       ,   Nadine
ناشئة       ,   Nasheaa
ناصحة       ,   Naseha
ناهية       ,   Nahia
نبيلة       ,   Nabila
نبيهة       ,   Nabiha
نجلاء       ,   Nagla
نجوانة      ,   Nagwana
نجيبة       ,   Nagiba
نجيحة       ,   Nagiha
نداء        ,   Nedaa
ندرة        ,   Nadra
ندى         ,   Nada
نزيهة       ,   Nazeeha
نسرين       ,   Nesreen
نسيم        ,   Nasim
نصاحة       ,   Nasaha
نصر         ,   Nasr
نضال        ,   Nedal
نظيرة       ,   Nazira   
نعيم        ,   Naeem
نهال        ,   Nehal
نهى         ,   Noha
نوار        ,   Nawar
نوال        ,   Nawal
نورا        ,   Noura
نورة        ,   Nourah
نورس        ,   Nouras
نورهان      ,   Nourhan
هائلة       ,   Haeila
هاجر        ,   Hagar
هالة        ,   Hala
هانئة       ,   Haneia
هبة         ,   Heba
هدى         ,   Huda
هديل        ,   Hadeel
هريرة       ,   Huraira
هند         ,   Hend
هيفاء       ,   Haifa
وداد        ,   Wadoud
وديعة       ,   Wadia
ورد         ,   Ward
وسام        ,   Wesam
وسيمة       ,   Wasima
وضحى        ,   Wadha
وفاء        ,   Wafaa
وفيقة       ,   Wafika
ولهانة      ,   Walhan
وليفة       ,   Walifa
وميض        ,   Wamid
وهبة        ,   Wahba
يارا        ,   Yara
ياسمين      ,   Yasmin
يسرا        ,   Yousra
ريوان       ,   Rewan
Sawsan , سوسن
